implementation,corpus,threads,trial,gb_per_second
parabix-pablo,ascii,2,19,10.9549
parabix-pablo,ascii,2,20,11.1042
parabix-pablo,ascii,2,21,11.0495
parabix-pablo,ascii,2,22,11.0206
parabix-pablo,ascii,2,23,10.7466
parabix-pablo,ascii,2,24,11.0866
parabix-pablo,ascii,2,25,11.0265
keiser-lemire-simdjson,ascii,1,1,59.9008
keiser-lemire-simdjson,ascii,1,2,62.7137
keiser-lemire-simdjson,ascii,1,3,62.6162
keiser-lemire-simdjson,ascii,1,4,60.0886
keiser-lemire-simdjson,ascii,1,5,62.4511
keiser-lemire-simdjson,ascii,1,6,62.8704
keiser-lemire-simdjson,ascii,1,7,62.7333
keiser-lemire-simdjson,ascii,1,8,62.743
keiser-lemire-simdjson,ascii,1,9,61.8469
keiser-lemire-simdjson,ascii,1,10,62.6113
keiser-lemire-simdjson,ascii,1,11,52.5452
keiser-lemire-simdjson,ascii,1,12,54.3612
keiser-lemire-simdjson,ascii,1,13,61.8469
keiser-lemire-simdjson,ascii,1,14,62.5967
keiser-lemire-simdjson,ascii,1,15,59.7277
keiser-lemire-simdjson,ascii,1,16,62.6357
keiser-lemire-simdjson,ascii,1,17,62.9588
keiser-lemire-simdjson,ascii,1,18,62.704
keiser-lemire-simdjson,ascii,1,19,62.7137
keiser-lemire-simdjson,ascii,1,20,60.0885
keiser-lemire-simdjson,ascii,1,21,57.9734
keiser-lemire-simdjson,ascii,1,22,59.7586
keiser-lemire-simdjson,ascii,1,23,59.1529
keiser-lemire-simdjson,ascii,1,24,59.6922
keiser-lemire-simdjson,ascii,1,25,56.9041
